Test Code,Test Name,"MRP (in
INR)",Methodology,Specimen Type,Specimen Remarks,Container,Temp.,Frequency,TAT,,,,,,,,,,,,,,
APC43,"AFB SUSCEPTIBILITY, BACTEC: 13 DRUG PANEL",15500,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC44,"AFB SUSCEPTIBILITY, BACTEC: 5  DRUG PANEL",6900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC45,"AFB SUSCEPTIBILITY, BACTEC: SIREP PANEL",6900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC46,AFB SUSCEPTIBILITY: AMIKACIN,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC47,AFB SUSCEPTIBILITY: CAPREOMYCIN,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC48,AFB SUSCEPTIBILITY: CLOFAZIMINE,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC49,AFB SUSCEPTIBILITY: ETHAMBUTOL,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC50,AFB SUSCEPTIBILITY: ISONIAZID,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC51,AFB SUSCEPTIBILITY: KANAMYCIN,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC52,AFB SUSCEPTIBILITY: LEVOFLOXACIN,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC53,AFB SUSCEPTIBILITY: LINEZOLID,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC54,AFB SUSCEPTIBILITY: MOXIFLOXACIN,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC55,AFB SUSCEPTIBILITY: OFLOXACIN,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC56,AFB SUSCEPTIBILITY: PAS,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC57,AFB SUSCEPTIBILITY: PYRAZINAMIDE,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC58,AFB SUSCEPTIBILITY: RIFABUTIN,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC59,AFB SUSCEPTIBILITY: RIFAMPICIN,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC60,AFB SUSCEPTIBILITY: STREPTOMYCIN,2900,BACTEC MGIT-960 METHOD,PURE CULTURE,PURE & FRESHLY SUBCULTURED M. TUBERCULOSIS COMPLEX ISOLATE (ISOLATE IDENTIFICATION REPORT FROM THE REFERRING LAB IS MANDATORY),STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,18 DAYS,,,,,,,,,,,,,,
APC61,ALBERT STAIN (DIPTHERIA BACILLI),300,MICROSCOPY,THROAT SWAB,THROAT SWABS IN STERILE CONTAINER,STERILE SCREW CAPPED CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC62,ALBUMIN - FLUID,160,BCG,ANY BODY FLUID,3ML BODY FLUID IN STERILE CONTAINER,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC63,ALBUMIN - SERUM,160,BCG,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC64,ALCIAN BLUE STAIN,750,HISTOPATHOLOGY,PARAFFIN BLOCK / SLIDE,"1 CM /  1 BLOCK  + CLINICAL HISTORY + SITE OF BIOPSY + CLINICAL DETAILS. RELEVANT RADIOLOGY FINDINGS: X-RAY/CT/MRI  REPORT  & IMAGE (SOFT
COPY)",PLASTIC BOX,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC65,ALCOHOL - BLOOD,800,SPECTROPHOTOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC66,ALCOHOL/ETHANOL - URINE,800,IMMUNOCHROMATOGRAPHY,URINE,10 ML URINE IN STERILE CONTAINER,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC67,ALDOLASE - SERUM,850,SPECTROPHOTOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,3 DAYS,,,,,,,,,,,,,,
APC68,ALDOSTERONE - SERUM,1700,CHEMILUMINESCENCE,SERUM,"2ML SERUM IN GEL TUBE  (AGE, GENDER, CLINICAL & TREATMENT HISTORY REQUIRED IF PATIENT IS ON
SPIROLACTONE OR ACE INHIBITORS)",YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"MON, THURS",6 DAYS,,,,,,,,,,,,,,
APC69,ALDOSTERONE DIRECT RENIN RATIO,6000,CHEMILUMINESCENCE,WHOLE BLOOD EDTA AND SERUM,"5ML EDTA PLASMA + 1.5 ML SERUM (CLINICAL HISTORY REQUIRED) (STANDING/ SUPINE) UPRIGHT POSTURE INDUCES A PROMPT ELEVATION IN PLASMA RENIN ACTIVITY BEGINNING IN 15MINUTES AND PEAKING BETWEEN 60 &120 MINUTES
[MENTION COLLECTION POSTURE  STANDING OR
SUPINE ON TRF-MANDATORY]",LAVENDER TOP EDTA VACUTAINER AND YELLOW TOP GEL TUBE,FROZEN (-20 DEGREE CELSIUS),"MON, THURS",3 DAYS,,,,,,,,,,,,,,
APC70,"ALKALINE PHOSPHATASE (ALP)
- SERUM",200,SPECTROPHOTOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC71,ALKALINE PHOSPHATASE FRACTIONATION - SERUM,1900,CMIA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,3 DAYS,,,,,,,,,,,,,,
APC72,"ALKALINE PHOSPHATASE ISOENZYME ELECTROPHORESIS
SERUM",6000,CMIA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC73,ALL FISH PANEL: BCR/ABL T(9:22) + TEL/AML T(12:21) + MLL 11Q REARRANGEMENT,9500,FISH,BONE MARROW OR WHOLE BLOOD IN NA HEPARIN,"4.0 ML + 2.0 ML BONE MARROW / WHOLE BLOOD SODIUM HEPARIN SPECIMEN TO REACH US WITH 48
HRS + CLINICAL HISTORY  [PLEASE MENTION THE CLINICAL HISTORY, BLOOD PICTURE (CBC REPORT) AND MEDICATION OF THE PATIENT ON THE TRF]",GREEN TOP SODIUM HEPARIN VACUTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC74,ALLERGEN - ECZEMA/GIT (NON VEG & VEG) PANEL,11600,IMMUNOCAP SPECIFIC IGE INHOUSE ALLERGEN,SERUM,5ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
