Test Code,Test Name,"MRP (in
INR)",Methodology,Specimen Type,Specimen Remarks,Container,Temp.,Frequency,TAT,,,,,,,,,,,,,,
APC782,HOMA - IR (INSULIN RESISTANCE INDEX),1200,"HEXOKINASE, CMIA",NAF PLASMA AND SERUM,3ML FASTING PLASMA IN SODIUM FLUORIDE AND FASTING SERUM GEL TUBE,"LAVENDAR TOP EDTA VACUTAINER AND STERILE
CONTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,3 DAYS,,,,,,,,,,,,,,
APC783,HOMOCYSTEINE (SERUM),1150,SPECTROPHOTOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC784,HOMOCYSTINE (URINE),1200,SPECTROPHOTOMETRY,URINE,10 ML URINE IN STERILE CONTAINER,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,NEXT DAY,,,,,,,,,,,,,,
APC785,"HOMOVANILLIC ACID (HVA), 24 HOUR, URINE",4500,HPLC-EC,URINE,"10 ML ALIQUOT OF 24 HOUR URINE URINE IN LEAKPROOF CONTAINER.  PATIENT SHOULD STRICTLY AVOID L-DOPA AT LEAST 72 HOURS BEFORE AND
DURING COLLECTION.",STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),"TUES, FRI",7 DAYS,,,,,,,,,,,,,,
APC786,HPV DNA GENOTYPE - 16/18,1200,RT PCR,LBC / SWAB / TISSUE,LBC / VAGINAL SWAB LBC / OROPHARYNGEAL SWAB / TISSUE IN NORMAL SALINE,LBC CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC787,HS-CRP (HIGH SENSITIVITY C- REACTIVE PROTEIN),850,IMMUNOTURBIDOMETRY,SERUM,3ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,SAME DAY,,,,,,,,,,,,,,
APC788,"HTLV - I / II ANTIBODY, SCREEN",6500,CHEMILUMINESCENT MICROPARTICLE IMMUNOASSAY (CMIA),SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),THURS,4 DAYS,,,,,,,,,,,,,,
APC789,"HUMAN PAPILLOMA VIRUS (HPV) DNA DETECTION AND GENOTYPING: HIGH RISK
TYPES",1700,RT PCR,LBC / SWAB / TISSUE,LBC / VAGINAL SWAB LBC / OROPHARYNGEAL SWAB / TISSUE IN NORMAL SALINE,LBC CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),"MON,FRI",2 DAYS,,,,,,,,,,,,,,
APC790,HYPERSENSITIVITY PNEUMONITIS PANEL,8300,IMMUNOCAP,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC791,"IA2-INSULIN (SERUM,EIA)",3300,EIA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,FROZEN (-20 DEGREE CELSIUS),MON,6 DAYS,,,,,,,,,,,,,,
APC792,IDH 1/2 MUTATION ANALYSIS,12000,PCR,BIOPSY/PARAFFIN BLOCK,PARAFFIN BLOCK. MENTION THE SITE OF BIOPSY IN THE TRF,STERILE SCREW CAPPED CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC793,IGF- BP3 (INSULIN GROWTH FACTOR - BINDING PROTEIN 3),4500,CMIA,SERUM,3 ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,FROZEN (-20 DEGREE CELSIUS),SAT,4 DAYS,,,,,,,,,,,,,,
APC794,IGF1 (INSULIN LIKE GROWTH FACTOR) - SERUM,2000,CHEMILUMINESCENCE,SERUM,2ML SERUM IN GEL TUBE (CLINICAL HISTORY REQUIRED),YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"TUES, THURS",4 DAYS,,,,,,,,,,,,,,
APC795,"IGF-1, SOMATOMEDIN-C",4300,CMIA,SERUM,3 ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,FROZEN (-20 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC796,IGG HEAVY CHAIN (SURFACE),2750,FLOW CYTOMETRY,"WHOLE BLOOD EDTA AND HEPARANIZED BONE MARROW / HEPARANIZED
WHOLE BLOOD",WB- EDTA | BM  / WB- HEPARIN | BM / EDTA / HEP FLUIDS/SMEARS + CLINICAL HISTORY,LAVENDER TOP EDTA VACUTAINER / GREEN TOP SODIUM HEPARIN,AMBIENT (15-25 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC797,IGG SUBCLASS IGG4,7000,ECLIA,SERUM,2ML SERUM IN GEL TUBE,YELLOW TOP GEL TUBE,REFRIGERATED (2-8 DEGREE CELSIUS),"SUN,WED",3 DAYS,,,,,,,,,,,,,,
APC798,IHC  - HMB-45 (MELANOMA MARKER),2300,IMMUNO HISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,5 DAYS,,,,,,,,,,,,,,
APC799,"IHC - ACTIN (SMOOTH MUSCLE ACTIN), SMA",2300,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.IF TISSUE RECEIVED IT WILL BE CHARGED FOR TISSUE PROCESSING.* TIME AND DURATI",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),MON TO SAT,5 DAYS,,,,,,,,,,,,,,
APC800,IHC - ALPHA FETO PROTEIN (AFP),2000,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%  NEUTRAL BUFFERED FORMALIN / PARAFFIN BLOCK (SITE OF BIOPSY,  CLINICAL DETAILS & PRIMARY HISTOPATHOLOGY REPORT ) MANDATORY
. IF TISSUE RECEIVED, TISSUE PROCESSING WILL BE
CHARGED",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC801,IHC - BCL2,2000,IMMUNO HISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.IF TISSUE RECEIVED IT WILL BE CHARGED FOR TISSUE PROCESSING.* TIME AND DURATI",STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,6 DAYS,,,,,,,,,,,,,,
APC802,IHC - BCL6,2300,IMMUNO HISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY",STERILE CONTAINER,REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC803,IHC - BETA- HCG,2300,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.IF TISSUE RECEIVED IT WILL BE CHARGED FOR TISSUE PROCESSING.* TIME AND DURATI",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),MON TO SAT,5 DAYS,,,,,,,,,,,,,,
APC804,"IHC - BREAST CA PANEL (ER, PGR, HER2/NEU, KI-67)",5000,IMMUNOHISTOCHEMISTRY,TISSUE,1 CM /  1 BLOCK OF TISSUE IN 10% NEUTRAL BUFFERED FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY AND CLINICAL DETAILS & PRIMARY HISTOPATHOLOGY REPORT MANDATORY.IF TISSUE RECEIVED IT WILL BE CHARGED FOR TISSUE PROCESSING.* TIME AND DURATION OF FIXATION SHOULD BE MENTIONED ON THE TRF.*,STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,7 DAYS,,,,,,,,,,,,,,
APC805,IHC - C4D,2300,IMMUNO HISTOCHEMISTRY,PARAFFIN BLOCK / KIDNEY BIOPSY IN NORMAL SALINE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC806,IHC - CD 23,2300,IMMUNO HISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.IF TISSUE RECEIVED IT WILL BE CHARGED FOR TISSUE PROCESSING.* TIME AND DURATI",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,6 DAYS,,,,,,,,,,,,,,
APC807,IHC - CD10 (CALLA),2800,IMMUNOHISTOCHEMISTRY,WHOLE BLOOD EDTA,"WB- EDTA / BM-EDTA / WB- HEPARIN / BM HEPARIN+DIRECT SMEAR+FLUID SMEAR + CLINICAL
HISTORY","LAVENDER TOP EDTA
VACUTAINER",REFRIGERATED (2-8 DEGREE CELSIUS),DAILY,4 DAYS,,,,,,,,,,,,,,
APC808,IHC - CD117,2000,IMMUNO HISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC809,IHC - CD117 (MYELOID CELL MARKER),2800,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%  NEUTRAL BUFFERED FORMALIN / PARAFIN BLOCK (SITE OF BIOPSY,  CLINICAL DETAILS & PRIMARY HISTOPATHOLOGY REPORT ) MANDATORY . IF TISSUE RECEIVED, TISSUE PROCESSING WILL BE
CHARGED",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,7 DAYS,,,,,,,,,,,,,,
APC810,IHC - CD117 / C-KIT,2000,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC811,IHC - CD138,2000,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC812,IHC - CD15,2000,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC813,IHC - CD15 (MYELOID CELL MARKER),2100,IMMUNOHISTOCHEMISTRY,TISSUE,"1 CM /  1 BLOCK TISSUE IN 10%  NEUTRAL BUFFERED FORMALIN / PARAFIN BLOCK (SITE OF BIOPSY, CLINICAL DETAILS & PRIMARY HISTOPATHOLOGY REPORT ) MANDATORY . IF TISSUE RECEIVED, TISSUE PROCESSING WILL BE CHARGED",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,7 DAYS,,,,,,,,,,,,,,
APC814,IHC - CD1A (PAN T CELL MARKER),2100,IMMUNOHISTOCHEMISTRY,TISSUE,"1 CM /  1 BLOCK TISSUE IN 10%  NEUTRAL BUFFERED FORMALIN / PARAFIN BLOCK (SITE OF BIOPSY, CLINICAL DETAILS & PRIMARY HISTOPATHOLOGY REPORT ) MANDATORY . IF TISSUE RECEIVED, TISSUE PROCESSING WILL BE CHARGED",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,7 DAYS,,,,,,,,,,,,,,
APC815,IHC - CD20,2000,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC816,IHC - CD20,2000,IMMUNOHISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,9 DAYS,,,,,,,,,,,,,,
APC817,IHC - CD20 (PAN B CELL MARKER),2100,IMMUNOHISTOCHEMISTRY,TISSUE,"1 CM /  1 BLOCK TISSUE IN 10%  NEUTRAL BUFFERED FORMALIN / PARAFIN BLOCK (SITE OF BIOPSY, CLINICAL DETAILS & PRIMARY HISTOPATHOLOGY REPORT ) MANDATORY . IF TISSUE RECEIVED, TISSUE PROCESSING WILL BE CHARGED",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,7 DAYS,,,,,,,,,,,,,,
APC818,IHC - CD30,2000,IMMUNO HISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC819,IHC - CD34,2000,IMMUNO HISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC820,IHC - CD34 (PRECURSOR CELL MARKER),2100,IMMUNOHISTOCHEMISTRY,TISSUE,"1 CM /  1 BLOCK TISSUE IN 10%  NEUTRAL BUFFERED FORMALIN / PARAFIN BLOCK (SITE OF BIOPSY, CLINICAL DETAILS & PRIMARY HISTOPATHOLOGY REPORT ) MANDATORY . IF TISSUE RECEIVED, TISSUE PROCESSING WILL BE CHARGED",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,7 DAYS,,,,,,,,,,,,,,
APC821,IHC - CD43,2300,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC822,IHC - CD45 OR LEUCOCYTE COMMON ANTIGEN (LCA),2000,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC823,IHC - CD5,2000,IMMUNO HISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC824,IHC - CD56,2000,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC825,IHC - CD68,2000,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC826,IHC - CD7,2100,IMMUNO HISTOCHEMISTRY,TISSUE,"1 CM /  1 BLOCK TISSUE IN 10%  NEUTRAL BUFFERED FORMALIN / PARAFIN BLOCK (SITE OF BIOPSY, CLINICAL DETAILS & PRIMARY HISTOPATHOLOGY REPORT ) MANDATORY . IF TISSUE RECEIVED, TISSUE PROCESSING WILL BE CHARGED",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,7 DAYS,,,,,,,,,,,,,,
APC827,IHC - CD79A (B LYMPHOID CELL MARKER),2100,IMMUNOHISTOCHEMISTRY,TISSUE,"1 CM /  1 BLOCK TISSUE IN 10%  NEUTRAL BUFFERED FORMALIN / PARAFIN BLOCK (SITE OF BIOPSY, CLINICAL DETAILS & PRIMARY HISTOPATHOLOGY REPORT ) MANDATORY . IF TISSUE RECEIVED, TISSUE PROCESSING WILL BE CHARGED",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,7 DAYS,,,,,,,,,,,,,,
APC828,IHC - CD99,2000,IMMUNO HISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC829,IHC - CDK4,2300,IMMUNO HISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC830,IHC - CEA,2000,IMMUNO HISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC831,IHC - CHROMOGRANIN A,2000,IMMUNOHISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,#VALUE!,,,,,,,,,,,,,,
APC832,IHC - CYCLINE D1,2300,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC833,IHC - CYTOKERATIN 19 (CK 19),2000,IMMUNOHISTOCHEMISTRY,TISSUE,"1 CM /  1 BLOCK TISSUE IN 10%  NEUTRAL BUFFERED FORMALIN / PARAFIN BLOCK (SITE OF BIOPSY, CLINICAL DETAILS & PRIMARY HISTOPATHOLOGY REPORT ) MANDATORY . IF TISSUE RECEIVED, TISSUE PROCESSING WILL BE CHARGED",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,7 DAYS,,,,,,,,,,,,,,
APC834,IHC - CYTOKERATIN 20 (CK 20),2300,IMMUNO HISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC835,IHC - CYTOKERATIN 7 (CK 7),2000,IMMUNO HISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC836,IHC - CYTOKERATIN HMW 34BE12(SQUAMOUS) / CK HMW,2300,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.IF TISSUE RECEIVED IT WILL BE CHARGED FOR TISSUE PROCESSING.* TIME AND DURATI",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),MON TO SAT,5 DAYS,,,,,,,,,,,,,,
APC837,IHC - DESMIN,2000,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC838,IHC - DOG-1,2000,IMMUNO HISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,8 DAYS,,,,,,,,,,,,,,
APC839,IHC - EPITHELIAL MEMBRANE ANTIGEN (EMA),2000,IMMUNOHISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,9 DAYS,,,,,,,,,,,,,,
APC840,IHC - ER,1750,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.IF TISSUE RECEIVED IT WILL BE CHARGED FOR TISSUE PROCESSING.* TIME AND DURATI",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),MON TO SAT,5 DAYS,,,,,,,,,,,,,,
APC841,IHC - ER / PR STUDY,2500,IMMUNOHISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,#VALUE!,,,,,,,,,,,,,,
APC842,IHC - ER + PR + HER2NEU,3500,IMMUNOHISTOCHEMISTRY,TISSUE,"SUBMIT TISSUE IN 10% FORMAL-SALINE OR FORMALIN FIXED PARAFFIN EMBEDDED TISSUE BLOCK. SHIP AT ROOM TEMPERATURE. PROVIDE A COPY OF THE HISTOPATHOLOGY REPORT, SITE OF
BIOPSY AND CLINICAL HISTORY.",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),DAILY,5 DAYS,,,,,,,,,,,,,,
APC843,IHC - GCDFP15,2300,IMMUNOHISTOCHEMISTRY,TISSUE,"1 CM /  1 BLOCK TISSUE IN 10%  NEUTRAL BUFFERED FORMALIN / PARAFIN BLOCK (SITE OF BIOPSY, CLINICAL DETAILS & PRIMARY HISTOPATHOLOGY REPORT ) MANDATORY . IF TISSUE RECEIVED, TISSUE PROCESSING WILL BE CHARGED",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),MON TO SAT,5 DAYS,,,,,,,,,,,,,,
APC844,IHC - GFAP,2300,IMMUNOHISTOCHEMISTRY,TISSUE,"TISSUE IN 10%FORMALIN FOR 24-48 HRS/ PARAFFIN BLOCK+ SITE OF BIOPSY, CLINICAL DETAILS AND HISTOPATHOLOGY REPORT MANDATORY.IF TISSUE RECEIVED IT WILL BE CHARGED FOR TISSUE PROCESSING.* TIME AND DURATI",STERILE CONTAINER,AMBIENT (15-25 DEGREE CELSIUS),MON TO SAT,5 DAYS,,,,,,,,,,,,,,
